[2025-04-23 19:25:51] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:27:38] eth:ethertype:ip:tcp 185.125.188.55:443 -> 172.16.9.35:44808 | Possível FIN
[2025-04-23 19:27:38] eth:ethertype:ip:tcp 172.16.9.35:44808 -> 185.125.188.55:443 | Possível FIN
[2025-04-23 19:27:45] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:27:45] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:27:50] eth:ethertype:ip : -> : | Possível MALFORMED
[2025-04-23 19:27:51] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:27:51] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:28:15] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:28:15] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:28:16] eth:ethertype:ip:tcp 172.16.9.35:57294 -> 89.58.44.75:443 | Possível SYN
[2025-04-23 19:28:16] eth:ethertype:ip:tcp 89.58.44.75:443 -> 172.16.9.35:57294 | Possível SYN
[2025-04-23 19:28:17] eth:ethertype:ip:tcp 172.16.9.35:43258 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:28:17] eth:ethertype:ip:tcp 172.16.9.35:38338 -> 13.107.246.34:443 | Possível SYN
[2025-04-23 19:28:17] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:38338 | Possível SYN
[2025-04-23 19:28:17] eth:ethertype:ip:tcp 172.16.9.35:41096 -> 13.107.246.64:443 | Possível SYN
[2025-04-23 19:28:17] eth:ethertype:ip:tcp 13.107.246.64:443 -> 172.16.9.35:41096 | Possível SYN
[2025-04-23 19:28:18] eth:ethertype:ip:tcp 172.16.9.35:43258 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:28:20] eth:ethertype:ip:tcp 172.16.9.35:43258 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:28:21] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:28:24] eth:ethertype:ip:tcp 172.16.9.35:43258 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:28:32] eth:ethertype:ip:tcp 172.16.9.35:43258 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:28:35] eth:ethertype:ip:tcp 172.16.9.35:54390 -> 13.107.246.34:443 | Possível SYN
[2025-04-23 19:28:35] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:54390 | Possível SYN
[2025-04-23 19:28:37] eth:ethertype:ip:tcp 40.71.11.167:443 -> 172.16.9.35:56050 | Possível FIN
[2025-04-23 19:28:44] eth:ethertype:ip:tcp 172.16.9.35:57188 -> 20.201.28.151:443 | Possível SYN
[2025-04-23 19:28:44] eth:ethertype:ip:tcp 20.201.28.151:443 -> 172.16.9.35:57188 | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:tcp 172.16.9.35:57188 -> 20.201.28.151:443 | Possível FIN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.220.220: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.220.220: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:tcp 172.16.9.35:56050 -> 40.71.11.167:443 | Possível FIN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:dns 208.67.220.220: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:dns 208.67.220.220: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:tcp 172.16.9.35:49818 -> 40.71.11.167:443 | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:tcp 40.71.11.167:443 -> 172.16.9.35:49818 | Possível SYN
[2025-04-23 19:28:48] eth:ethertype:ip:tcp 172.16.9.35:46484 -> 20.42.73.28:443 | Possível SYN
[2025-04-23 19:28:48] eth:ethertype:ip:tcp 20.42.73.28:443 -> 172.16.9.35:46484 | Possível SYN
[2025-04-23 19:28:49] eth:ethertype:ip:tcp 172.16.9.35:43258 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:28:51] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:39:35] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:5405 | Possível SYN
[2025-04-23 19:39:37] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:5405 | Possível SYN
[2025-04-23 19:39:38] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:5405 | Possível SYN
[2025-04-23 19:39:39] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:5405 | Possível SYN
[2025-04-23 19:39:40] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:5405 | Possível SYN
[2025-04-23 19:39:46] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:47] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:48] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:48] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:39:48] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:39:50] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:51] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:52] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:53] eth:ethertype:ip:tcp 172.16.9.35:48072 -> 13.107.246.34:443 | Possível SYN
[2025-04-23 19:39:53] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:48072 | Possível SYN
[2025-04-23 19:39:53] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:55] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:39:57] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:39:57] eth:ethertype:ip:udp:mdns 172.16.8.80: -> 224.0.0.251: | Possível SCAN
[2025-04-23 19:39:58] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:39:59] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:39:59] eth:ethertype:ip:tcp 172.16.9.35:44934 -> 20.201.28.151:443 | Possível SYN
[2025-04-23 19:39:59] eth:ethertype:ip:tcp 20.201.28.151:443 -> 172.16.9.35:44934 | Possível SYN
[2025-04-23 19:40:00] eth:ethertype:ip:tcp 172.16.9.35:44934 -> 20.201.28.151:443 | Possível FIN
[2025-04-23 19:40:00] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.222.222: | Possível SYN
[2025-04-23 19:40:00] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.222.222: | Possível SYN
[2025-04-23 19:40:00] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:40:00] eth:ethertype:ip:udp:dns 208.67.222.222: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:40:00] eth:ethertype:ip:udp:dns 208.67.222.222: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:40:01] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:40:02] eth:ethertype:ip:tcp 172.16.9.35:55826 -> 20.189.173.26:443 | Possível SYN
[2025-04-23 19:40:03] eth:ethertype:ip:tcp 20.189.173.26:443 -> 172.16.9.35:55826 | Possível SYN
[2025-04-23 19:40:03] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:40:05] eth:ethertype:ip:tcp 172.16.9.35:33122 -> 52.182.143.210:443 | Possível SYN
[2025-04-23 19:40:06] eth:ethertype:ip:tcp 52.182.143.210:443 -> 172.16.9.35:33122 | Possível SYN
[2025-04-23 19:40:06] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:06] eth:ethertype:ip:tcp 172.16.9.35:49460 -> 13.107.246.34:443 | Possível SYN
[2025-04-23 19:40:06] eth:ethertype:ip:tcp 172.16.9.35:33122 -> 52.182.143.210:443 | Possível FIN
[2025-04-23 19:40:06] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:49460 | Possível SYN
[2025-04-23 19:40:07] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:08] eth:ethertype:ip:udp:mdns 172.16.8.80: -> 224.0.0.251: | Possível SCAN
[2025-04-23 19:40:09] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:10] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:10] eth:ethertype:ip:tcp 172.16.9.35:37058 -> 20.189.173.11:443 | Possível SYN
[2025-04-23 19:40:10] eth:ethertype:ip:tcp 20.189.173.11:443 -> 172.16.9.35:37058 | Possível SYN
[2025-04-23 19:40:11] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:11] eth:ethertype:ip:tcp 172.16.9.35:37058 -> 20.189.173.11:443 | Possível FIN
[2025-04-23 19:40:13] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:13] eth:ethertype:ip:tcp 172.16.9.35:49460 -> 13.107.246.34:443 | Possível FIN
[2025-04-23 19:40:13] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:49460 | Possível FIN
[2025-04-23 19:40:14] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:15] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:17] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:18] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:19] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:40:19] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:40:19] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:20] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:21] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:23] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:34] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:35] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:35] eth:ethertype:ip:udp:mdns 172.16.8.80: -> 224.0.0.251: | Possível SCAN
[2025-04-23 19:40:36] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:37] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:38] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:40] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:41] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:44] eth:ethertype:ip:tcp 172.16.12.236:43660 -> 172.16.2.4:6000 | Possível SYN
[2025-04-23 19:40:45] eth:ethertype:ip:tcp 172.16.12.236:43662 -> 172.16.2.4:6000 | Possível SYN
[2025-04-23 19:40:47] eth:ethertype:ip:tcp 172.16.12.236:43664 -> 172.16.2.4:6000 | Possível SYN
[2025-04-23 19:40:48] eth:ethertype:ip:tcp 172.16.12.236:43666 -> 172.16.2.4:6000 | Possível SYN
[2025-04-23 19:40:49] eth:ethertype:ip:tcp 172.16.12.236:43668 -> 172.16.2.4:6000 | Possível SYN
[2025-04-23 19:40:49] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:40:49] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:40:50] eth:ethertype:ip:tcp 172.16.12.236:43670 -> 172.16.2.4:6000 | Possível SYN
[2025-04-23 19:40:51] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:40:52] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:40:54] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:40:54] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:40:55] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:40:56] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:40:57] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:40:58] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:41:07] eth:ethertype:ip:tcp 172.16.9.35:48180 -> 89.58.44.75:443 | Possível SYN
[2025-04-23 19:41:07] eth:ethertype:ip:tcp 89.58.44.75:443 -> 172.16.9.35:48180 | Possível SYN
[2025-04-23 19:41:08] eth:ethertype:ip:tcp 172.16.9.35:50894 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:41:08] eth:ethertype:ip:tcp 172.16.9.35:45868 -> 13.107.246.34:443 | Possível SYN
[2025-04-23 19:41:08] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:45868 | Possível SYN
[2025-04-23 19:41:08] eth:ethertype:ip : -> : | Possível MALFORMED
[2025-04-23 19:41:08] eth:ethertype:ip:tcp 172.16.9.35:50592 -> 13.107.246.33:443 | Possível SYN
[2025-04-23 19:41:08] eth:ethertype:ip:tcp 13.107.246.33:443 -> 172.16.9.35:50592 | Possível SYN
[2025-04-23 19:41:09] eth:ethertype:ip:tcp 172.16.9.35:50894 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:41:11] eth:ethertype:ip:tcp 172.16.9.35:50894 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:41:15] eth:ethertype:ip:tcp 172.16.9.35:50894 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:41:16] eth:ethertype:ip:tcp 172.16.12.236:43660 -> 172.16.2.4:31337 | Possível SYN
[2025-04-23 19:41:17] eth:ethertype:ip:tcp 172.16.12.236:43662 -> 172.16.2.4:31337 | Possível SYN
[2025-04-23 19:41:18] eth:ethertype:ip:tcp 172.16.12.236:43664 -> 172.16.2.4:31337 | Possível SYN
[2025-04-23 19:41:19] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:41:19] eth:ethertype:ip:tcp 172.16.12.236:43666 -> 172.16.2.4:31337 | Possível SYN
[2025-04-23 19:41:21] eth:ethertype:ip:tcp 172.16.12.236:43668 -> 172.16.2.4:31337 | Possível SYN
[2025-04-23 19:41:22] eth:ethertype:ip:tcp 172.16.12.236:43670 -> 172.16.2.4:31337 | Possível SYN
[2025-04-23 19:41:23] eth:ethertype:ip:tcp 172.16.9.35:50894 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:41:23] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:48072 | Possível FIN
[2025-04-23 19:41:23] eth:ethertype:ip:tcp 172.16.9.35:48072 -> 13.107.246.34:443 | Possível FIN
[2025-04-23 19:41:24] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:41:36] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:38] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:39] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:39] eth:ethertype:ip:tcp 172.16.9.35:50894 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:41:40] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:41] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:42] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:44] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:49] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:41:49] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:41:49] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:41:56] eth:ethertype:ip:udp:mdns 172.16.8.80: -> 224.0.0.251: | Possível SCAN
[2025-04-23 19:41:57] eth:ethertype:ip:tcp 172.16.12.236:43660 -> 172.16.2.4:3689 | Possível SYN
[2025-04-23 19:41:58] eth:ethertype:ip:tcp 172.16.12.236:43662 -> 172.16.2.4:3689 | Possível SYN
[2025-04-23 19:42:00] eth:ethertype:ip:tcp 172.16.12.236:43664 -> 172.16.2.4:3689 | Possível SYN
[2025-04-23 19:42:02] eth:ethertype:ip:tcp 172.16.12.236:43666 -> 172.16.2.4:3689 | Possível SYN
[2025-04-23 19:42:03] eth:ethertype:ip:tcp 172.16.12.236:43668 -> 172.16.2.4:3689 | Possível SYN
[2025-04-23 19:42:04] eth:ethertype:ip:tcp 172.16.12.236:43670 -> 172.16.2.4:3689 | Possível SYN
[2025-04-23 19:42:08] eth:ethertype:ip:tcp 172.16.9.35:48180 -> 89.58.44.75:443 | Possível FIN
[2025-04-23 19:42:08] eth:ethertype:ip:tcp 172.16.9.35:45868 -> 13.107.246.34:443 | Possível FIN
[2025-04-23 19:42:08] eth:ethertype:ip:tcp 89.58.44.75:443 -> 172.16.9.35:48180 | Possível FIN
[2025-04-23 19:42:08] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:45868 | Possível FIN
[2025-04-23 19:42:09] eth:ethertype:ip:tcp 172.16.9.35:50592 -> 13.107.246.33:443 | Possível FIN
[2025-04-23 19:42:09] eth:ethertype:ip:tcp 13.107.246.33:443 -> 172.16.9.35:50592 | Possível FIN
[2025-04-23 19:42:11] eth:ethertype:ip:tcp 40.71.11.167:443 -> 172.16.9.35:44472 | Possível FIN
[2025-04-23 19:42:19] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:42:24] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:42:24] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:42:27] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:27] eth:ethertype:ip:tcp 172.16.12.236:43660 -> 172.16.2.4:1217 | Possível SYN
[2025-04-23 19:42:28] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:28] eth:ethertype:ip:tcp 172.16.12.236:43662 -> 172.16.2.4:1217 | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.222.222: | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.222.222: | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:tcp 172.16.9.35:44472 -> 40.71.11.167:443 | Possível FIN
[2025-04-23 19:42:29] eth:ethertype:ip:udp:dns 208.67.222.222: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:udp:dns 208.67.222.222: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:tcp 172.16.9.35:60894 -> 40.71.11.167:443 | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:tcp 40.71.11.167:443 -> 172.16.9.35:60894 | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:tcp 172.16.12.236:43664 -> 172.16.2.4:1217 | Possível SYN
[2025-04-23 19:42:30] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:30] eth:ethertype:ip:tcp 172.16.12.236:43666 -> 172.16.2.4:1217 | Possível SYN
[2025-04-23 19:42:31] eth:ethertype:ip:tcp 172.16.9.35:51078 -> 52.182.143.213:443 | Possível SYN
[2025-04-23 19:42:31] eth:ethertype:ip:tcp 52.182.143.213:443 -> 172.16.9.35:51078 | Possível SYN
[2025-04-23 19:42:31] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:32] eth:ethertype:ip:tcp 172.16.12.236:43668 -> 172.16.2.4:1217 | Possível SYN
[2025-04-23 19:42:33] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:33] eth:ethertype:ip:tcp 172.16.12.236:43670 -> 172.16.2.4:1217 | Possível SYN
[2025-04-23 19:42:34] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:35] eth:ethertype:ip:tcp 172.16.12.236:43660 -> 172.16.2.4:2717 | Possível SYN
[2025-04-23 19:42:37] eth:ethertype:ip:tcp 172.16.12.236:43662 -> 172.16.2.4:2717 | Possível SYN
[2025-04-23 19:42:38] eth:ethertype:ip:tcp 172.16.12.236:43664 -> 172.16.2.4:2717 | Possível SYN
[2025-04-23 19:42:39] eth:ethertype:ip:tcp 172.16.12.236:43666 -> 172.16.2.4:2717 | Possível SYN
